Date,Loyalty Number (0=Not on scheme),Basket
1,0,"['Bananas', 'Fresh Milk', 'Eggs', 'Fresh Beef', 'Oil', 'Vinegar', 'Flour', 'Jam']"
1,4299945312,"['Pitta', 'Sports and Energy', 'Coffee', 'Bananas', 'Fresh Pasta', 'Fresh Flowers']"
1,4299945312,"['Pitta', 'Naan', 'Sweet Treats', 'Still Water', 'Fresh Fruit Juice', 'Tea', 'Bananas', 'Fresh Milk', 'Fresh Beef', 'Fresh Pizza', 'Fresh Flowers', 'Dried Fruit and Nuts']"
1,4299945240,"['Sweet Treats', 'Cake', 'Fresh Fruit Juice', 'Coffee', 'Fresh Beef', 'Tinned Fruit', 'Oil', 'Vinegar', 'Jam']"
1,4299945384,"['Utensils', 'Crumpet', 'Sweet Treats', 'Lemonade', 'Coffee']"
1,0,"['Blu Ray', 'Croissant', 'Sports and Energy', 'Still Water', 'Vinegar']"
1,4299945312,"['Christmas Cards', 'TV', 'Computer', 'Pitta', 'Naan', 'Sweet Treats', 'Cake', 'Coffee', 'Fresh Milk', 'Fresh Pizza', 'Fresh Flowers']"
1,4299945384,"['Christmas Cards', 'Computer', 'Utensils', 'Lemonade']"
1,0,"['Pitta', 'Sports and Energy', 'Fresh Fruit Juice', 'Fresh Milk', 'Eggs', 'Fresh Pasta', 'Fresh Pizza', 'Dried Fruit and Nuts', 'Cous cous', 'Icing Sugar', 'Jam']"
1,4299945240,"['Croissant', 'Sports and Energy', 'Fresh Milk', 'Fresh Beef', 'Fresh Pizza', 'Fresh Flowers', 'Dried Fruit and Nuts', 'Soup']"
1,0,"['Blu Ray', 'TV', 'Computer', 'Glasses', 'Lemonade', 'Sports and Energy', 'Still Water', 'Tea', 'Fresh Beef', 'Fresh Fish', 'Gravy', 'Flour']"
1,4299945312,"['Computer', 'Pitta', 'Naan', 'Sweet Treats', 'Sports and Energy', 'Still Water', 'Tea', 'Coffee', 'Bananas', 'Fresh Beef', 'Fresh Pizza', 'Fresh Flowers', 'Dried Fruit and Nuts', 'Oil']"
1,4299945456,"['Glasses', 'Fresh Fruit Juice', 'Coffee', 'Eggs', 'Fresh Flowers', 'Pickles']"
1,4299946032,"['Computer', 'Sweet Treats', 'Still Water', 'Tea', 'Soup', 'Vinegar', 'Flour']"
1,4299946032,"['Christmas Cards', 'Computer', 'Utensils', 'Sports and Energy', 'Still Water', 'Tea', 'Dried Fruit and Nuts', 'Soup', 'Tinned Fruit', 'Vinegar', 'Olives', 'Flour', 'Jam']"
1,0,"['Christmas Cards', 'Utensils']"
1,4299946032,"['Bagel', 'Still Water', 'Soup', 'Gravy', 'Oil', 'Cous cous', 'Vinegar']"
1,0,"['Bagel', 'Naan', 'Croissant', 'Crumpet', 'Sweet Treats', 'Cake', 'Lemonade', 'Fresh Beef', 'Fresh Pasta', 'Tinned Fruit', 'Vinegar', 'Jam']"
1,4299945240,"['Bagel', 'Crumpet', 'Fresh Fruit Juice', 'Fresh Fish', 'Soup', 'Oil', 'Cous cous', 'Olives', 'Icing Sugar']"
1,4299947832,"['Computer', 'Bagel', 'Pitta', 'Sweet Treats', 'Fresh Beef', 'Fresh Pasta', 'Fresh Flowers', 'Soup', 'Gravy', 'Cous cous', 'Jam']"
1,4299947832,"['Computer', 'Bagel', 'Croissant', 'Fresh Beef', 'Vinegar', 'Flour', 'Icing Sugar', 'Jam']"
1,0,"['Crumpet', 'Sweet Treats', 'Eggs', 'Fresh Flowers', 'Oil']"
1,4299945312,"['Blu Ray', 'Computer', 'Cake', 'Lemonade', 'Bananas', 'Fresh Fish', 'Fresh Pasta', 'Fresh Flowers', 'Cous cous', 'Jam']"
1,4299945384,"['Sports and Energy', 'Still Water']"
1,4299947832,"['Utensils', 'Bagel', 'Croissant', 'Cake', 'Bananas', 'Fresh Pasta', 'Fresh Flowers', 'Dried Fruit and Nuts', 'Soup', 'Oil', 'Flour']"
1,0,"['Computer', 'Bagel', 'Pitta', 'Sweet Treats', 'Tea', 'Coffee', 'Fresh Milk', 'Fresh Fish', 'Fresh Pizza', 'Gravy', 'Olives', 'Flour']"
1,0,"['TV', 'Pitta', 'Croissant', 'Crumpet', 'Cake', 'Dried Fruit and Nuts', 'Tinned Fruit', 'Gravy', 'Cous cous', 'Olives', 'Flour', 'Jam']"
1,0,"['Soup', 'Oil', 'Pickles']"
1,0,"['Utensils', 'Bagel', 'Croissant', 'Crumpet', 'Cake', 'Lemonade', 'Coffee', 'Fresh Fish', 'Dried Fruit and Nuts', 'Flour']"
1,4299947832,"['Computer', 'Croissant', 'Crumpet', 'Cake', 'Tea', 'Bananas', 'Eggs', 'Fresh Pasta', 'Dried Fruit and Nuts', 'Gravy', 'Cous cous']"
1,4299947832,"['Christmas Cards', 'Pitta', 'Croissant', 'Sweet Treats', 'Cake', 'Fresh Milk', 'Fresh Beef', 'Fresh Pasta', 'Dried Fruit and Nuts', 'Soup', 'Oil', 'Cous cous', 'Vinegar', 'Flour']"
1,4299946032,"['Utensils', 'Bagel', 'Pitta', 'Crumpet', 'Sports and Energy', 'Still Water', 'Soup', 'Cous cous', 'Vinegar', 'Flour', 'Jam']"
1,4299949480,['Pitta']
1,4299945456,"['Blu Ray', 'Utensils', 'Glasses', 'Still Water', 'Eggs', 'Fresh Pizza', 'Fresh Flowers', 'Tinned Fruit', 'Icing Sugar']"
1,0,"['Pitta', 'Naan', 'Croissant', 'Sweet Treats', 'Still Water', 'Gravy', 'Jam']"
1,0,"['TV', 'Naan', 'Croissant', 'Sweet Treats', 'Fresh Beef']"
1,0,"['Christmas Cards', 'Tea', 'Bananas', 'Dried Fruit and Nuts']"
1,4299950848,"['Utensils', 'Cake', 'Lemonade', 'Fresh Fruit Juice', 'Fresh Beef', 'Fresh Pizza', 'Gravy', 'Cous cous', 'Jam']"
1,0,"['TV', 'Bagel', 'Naan', 'Croissant', 'Sweet Treats', 'Still Water', 'Tea', 'Fresh Fish', 'Fresh Flowers', 'Vinegar']"
1,0,"['TV', 'Utensils', 'Bagel', 'Naan', 'Croissant', 'Soup']"
1,4299945240,"['Bagel', 'Cake', 'Still Water', 'Fresh Fruit Juice', 'Fresh Milk', 'Eggs', 'Fresh Beef', 'Fresh Pizza', 'Fresh Flowers', 'Vinegar']"
1,4299949480,"['Glasses', 'Pitta', 'Crumpet', 'Oil']"
1,4299951208,"['Bagel', 'Sweet Treats', 'Tea', 'Pickles', 'Jam']"
1,0,"['TV', 'Fresh Fruit Juice', 'Bananas', 'Fresh Fish', 'Gravy', 'Jam']"
1,4299950848,"['Lemonade', 'Fresh Fruit Juice', 'Fresh Beef', 'Dried Fruit and Nuts', 'Vinegar', 'Jam']"
1,4299950848,"['Christmas Cards', 'Utensils', 'Sweet Treats', 'Lemonade', 'Fresh Milk', 'Eggs', 'Fresh Beef', 'Fresh Pasta', 'Dried Fruit and Nuts', 'Pickles']"
1,0,"['TV', 'Computer', 'Sports and Energy', 'Eggs', 'Fresh Pizza', 'Pickles', 'Flour', 'Jam']"
1,4299947832,"['Computer', 'Utensils', 'Naan', 'Croissant', 'Crumpet', 'Fresh Beef', 'Fresh Fish', 'Fresh Pasta', 'Fresh Flowers', 'Dried Fruit and Nuts', 'Gravy']"
1,0,"['Blu Ray', 'TV', 'Glasses', 'Pitta', 'Naan', 'Croissant', 'Sweet Treats', 'Cake', 'Sports and Energy', 'Tea', 'Eggs']"
1,4299946032,"['Glasses', 'Sports and Energy', 'Still Water', 'Tea', 'Dried Fruit and Nuts', 'Soup', 'Tinned Fruit', 'Gravy', 'Cous cous', 'Vinegar']"
1,4299945456,"['Glasses', 'Eggs', 'Fresh Pasta', 'Fresh Flowers', 'Icing Sugar', 'Jam']"
1,4299947832,"['Christmas Cards', 'Naan', 'Tea', 'Dried Fruit and Nuts', 'Cous cous', 'Flour']"
1,4299949480,"['Pitta', 'Icing Sugar']"
1,0,"['Blu Ray', 'Tea', 'Fresh Milk', 'Fresh Beef', 'Cous cous', 'Jam']"
1,4299950704,"['TV', 'Sweet Treats', 'Fresh Flowers']"
1,4299945240,"['Bagel', 'Naan', 'Crumpet', 'Still Water', 'Eggs', 'Fresh Beef', 'Soup', 'Vinegar', 'Pickles', 'Jam']"
1,0,"['Eggs', 'Fresh Pasta', 'Fresh Pizza', 'Fresh Flowers', 'Vinegar', 'Flour']"
1,4299945240,"['Cake', 'Sports and Energy', 'Fresh Beef', 'Fresh Fish', 'Fresh Pizza', 'Fresh Flowers', 'Dried Fruit and Nuts', 'Vinegar', 'Flour']"
1,4299945384,"['Naan', 'Crumpet', 'Sweet Treats', 'Lemonade', 'Sports and Energy', 'Still Water']"
1,0,"['Blu Ray', 'Bagel', 'Lemonade', 'Coffee', 'Fresh Milk', 'Fresh Flowers', 'Pickles', 'Icing Sugar', 'Jam']"
1,0,"['Naan', 'Sweet Treats', 'Fresh Fish', 'Fresh Flowers', 'Soup', 'Tinned Fruit', 'Gravy', 'Pickles', 'Flour', 'Jam']"
1,4299950848,"['Fresh Fruit Juice', 'Fresh Milk', 'Fresh Beef', 'Fresh Pizza', 'Flour', 'Icing Sugar']"
1,4299951208,"['Bagel', 'Crumpet', 'Sweet Treats', 'Cake', 'Bananas', 'Oil', 'Vinegar', 'Flour']"
1,4299957096,"['Computer', 'Bagel', 'Pitta', 'Croissant', 'Crumpet', 'Sweet Treats', 'Lemonade', 'Sports and Energy', 'Tea', 'Bananas', 'Fresh Beef', 'Fresh Pasta', 'Fresh Flowers']"
1,0,"['Bagel', 'Pitta', 'Cake', 'Lemonade', 'Still Water', 'Fresh Fruit Juice', 'Fresh Pizza', 'Dried Fruit and Nuts', 'Tinned Fruit', 'Gravy', 'Oil', 'Cous cous', 'Olives', 'Pickles', 'Flour', 'Icing Sugar']"
1,4299957888,"['Computer', 'Pitta', 'Crumpet', 'Sports and Energy', 'Fresh Milk', 'Fresh Beef', 'Dried Fruit and Nuts', 'Vinegar', 'Jam']"
1,4299945240,"['Bagel', 'Crumpet', 'Sports and Energy', 'Fresh Fruit Juice', 'Eggs', 'Fresh Beef', 'Fresh Pizza', 'Fresh Flowers', 'Dried Fruit and Nuts', 'Oil', 'Olives']"
1,0,"['TV', 'Pitta', 'Naan', 'Lemonade', 'Fresh Fruit Juice', 'Bananas', 'Dried Fruit and Nuts', 'Vinegar']"
1,4299949480,"['Computer', 'Glasses', 'Lemonade', 'Gravy']"
1,4299950848,"['Christmas Cards', 'Computer', 'Utensils', 'Naan', 'Lemonade', 'Still Water', 'Eggs', 'Fresh Beef', 'Fresh Pizza', 'Fresh Flowers', 'Tinned Fruit', 'Cous cous', 'Icing Sugar']"
1,4299956736,"['TV', 'Computer', 'Bagel', 'Bananas', 'Fresh Beef', 'Fresh Pizza', 'Fresh Flowers', 'Gravy', 'Flour', 'Icing Sugar']"
1,4299945384,"['Utensils', 'Naan']"
1,0,"['Sports and Energy', 'Fresh Pizza', 'Vinegar', 'Icing Sugar', 'Jam']"
1,4299945456,"['Blu Ray', 'TV', 'Utensils', 'Glasses', 'Lemonade', 'Sports and Energy', 'Coffee', 'Bananas', 'Fresh Pizza', 'Icing Sugar', 'Jam']"
1,0,"['Christmas Cards', 'Crumpet', 'Sports and Energy', 'Fresh Beef', 'Fresh Pasta', 'Tinned Fruit', 'Gravy', 'Oil', 'Icing Sugar', 'Jam']"
1,4299945456,"['Blu Ray', 'Computer', 'Utensils', 'Glasses', 'Bananas', 'Eggs', 'Fresh Pasta', 'Fresh Pizza', 'Fresh Flowers', 'Olives', 'Flour']"
1,4299945384,"['Naan', 'Crumpet', 'Lemonade', 'Coffee']"
1,4299950704,"['Christmas Cards', 'Croissant', 'Fresh Fish', 'Fresh Pasta']"
1,4299945240,"['Croissant', 'Crumpet', 'Lemonade', 'Fresh Fruit Juice', 'Fresh Beef', 'Fresh Fish', 'Fresh Flowers', 'Dried Fruit and Nuts']"
1,0,"['Coffee', 'Olives']"
1,4299951424,"['Blu Ray', 'TV', 'Computer', 'Glasses', 'Sweet Treats', 'Tea', 'Fresh Pasta']"
1,4299951424,"['Blu Ray', 'Utensils', 'Glasses', 'Bagel', 'Naan', 'Cake', 'Cous cous', 'Jam']"
1,0,"['Blu Ray', 'Utensils', 'Bagel', 'Crumpet', 'Sports and Energy', 'Tea']"
1,4299951208,"['Blu Ray', 'Bagel', 'Cake', 'Tea']"
1,4299951424,"['Glasses', 'Naan', 'Croissant', 'Sweet Treats', 'Icing Sugar', 'Jam']"
1,0,"['Computer', 'Utensils', 'Pitta', 'Naan', 'Crumpet', 'Fresh Pasta', 'Fresh Pizza', 'Tinned Fruit', 'Gravy', 'Olives', 'Pickles']"
1,0,"['Dried Fruit and Nuts', 'Tinned Fruit', 'Oil', 'Cous cous', 'Olives', 'Pickles', 'Icing Sugar']"
1,4299952072,"['Pitta', 'Naan', 'Crumpet', 'Cake', 'Lemonade', 'Fresh Beef', 'Fresh Fish', 'Fresh Flowers', 'Dried Fruit and Nuts', 'Tinned Fruit', 'Olives', 'Pickles', 'Icing Sugar']"
1,4299950704,"['Christmas Cards', 'Croissant', 'Sweet Treats', 'Eggs']"
1,0,"['Bagel', 'Crumpet', 'Sports and Energy', 'Still Water', 'Fresh Fruit Juice', 'Bananas', 'Fresh Milk', 'Fresh Beef', 'Fresh Pasta']"
1,0,"['Christmas Cards', 'Blu Ray', 'TV', 'Naan', 'Cake', 'Still Water', 'Fresh Fruit Juice', 'Bananas', 'Eggs', 'Fresh Pasta', 'Fresh Pizza', 'Tinned Fruit']"
1,4299957096,"['Christmas Cards', 'Blu Ray', 'TV', 'Glasses', 'Bagel', 'Naan', 'Croissant', 'Crumpet', 'Sweet Treats', 'Cake', 'Sports and Energy', 'Tea', 'Bananas', 'Fresh Beef', 'Tinned Fruit']"
1,4299957096,"['Blu Ray', 'TV', 'Computer', 'Glasses', 'Croissant', 'Crumpet', 'Coffee', 'Eggs', 'Fresh Beef', 'Fresh Flowers']"
1,0,"['Blu Ray', 'TV', 'Utensils', 'Cake', 'Fresh Beef', 'Cous cous']"
1,4299945240,"['Tea', 'Fresh Milk', 'Fresh Beef', 'Fresh Pizza', 'Pickles']"
1,4299945312,"['Blu Ray', 'Still Water', 'Tea', 'Bananas', 'Fresh Beef', 'Fresh Flowers']"
1,0,"['TV', 'Pitta', 'Sweet Treats', 'Coffee', 'Bananas', 'Fresh Flowers']"
1,4299945384,"['Glasses', 'Naan', 'Lemonade', 'Fresh Beef']"
1,4299951424,"['Utensils', 'Glasses', 'Cake', 'Bananas', 'Eggs', 'Fresh Pasta']"
1,4299947832,"['Utensils', 'Naan', 'Crumpet', 'Fresh Fish', 'Fresh Pasta', 'Flour']"
1,4299950704,"['Naan', 'Crumpet', 'Eggs', 'Fresh Beef', 'Flour']"
1,4299955664,"['Computer', 'Glasses', 'Crumpet', 'Sports and Energy', 'Still Water', 'Bananas', 'Fresh Beef', 'Fresh Pasta', 'Dried Fruit and Nuts', 'Pickles', 'Jam']"
1,0,"['Blu Ray', 'TV', 'Glasses', 'Croissant', 'Sweet Treats', 'Cake', 'Coffee', 'Fresh Pizza', 'Fresh Flowers', 'Vinegar', 'Jam']"
1,0,"['Sports and Energy', 'Fresh Fruit Juice', 'Bananas', 'Fresh Beef', 'Fresh Pasta', 'Fresh Pizza', 'Fresh Flowers', 'Dried Fruit and Nuts', 'Tinned Fruit', 'Gravy', 'Jam']"
1,4299952072,"['TV', 'Crumpet', 'Cake', 'Lemonade', 'Fresh Fruit Juice', 'Tea', 'Bananas', 'Fresh Milk', 'Fresh Pasta', 'Fresh Pizza', 'Soup', 'Tinned Fruit', 'Gravy', 'Olives', 'Flour']"
1,4299957096,"['Computer', 'Glasses', 'Pitta', 'Naan', 'Cake', 'Lemonade', 'Sports and Energy', 'Tea', 'Fresh Pasta']"
1,4299952784,"['Blu Ray', 'Computer', 'Glasses', 'Eggs', 'Fresh Beef', 'Fresh Pasta', 'Cous cous', 'Olives']"
1,4299945456,"['Blu Ray', 'Glasses', 'Still Water', 'Fresh Beef', 'Fresh Flowers', 'Soup', 'Tinned Fruit', 'Cous cous', 'Flour']"
1,4299945456,"['Utensils', 'Fresh Fruit Juice', 'Bananas', 'Eggs', 'Fresh Pizza', 'Fresh Flowers', 'Cous cous']"
1,0,"['Pitta', 'Naan', 'Crumpet', 'Sweet Treats', 'Lemonade', 'Sports and Energy', 'Still Water', 'Coffee', 'Eggs', 'Soup', 'Tinned Fruit', 'Olives', 'Pickles', 'Icing Sugar', 'Jam']"
1,0,"['TV', 'Utensils', 'Glasses', 'Lemonade', 'Still Water', 'Fresh Fruit Juice', 'Coffee', 'Soup', 'Pickles']"
1,4299959112,"['Christmas Cards', 'Pitta', 'Naan', 'Sweet Treats', 'Dried Fruit and Nuts', 'Soup', 'Tinned Fruit', 'Gravy', 'Oil', 'Cous cous', 'Vinegar', 'Olives', 'Icing Sugar']"
1,0,"['Pitta', 'Fresh Fruit Juice', 'Coffee', 'Fresh Milk', 'Eggs', 'Fresh Flowers', 'Soup', 'Oil']"
1,4299950704,"['Croissant', 'Sweet Treats', 'Cake']"
1,0,"['Pitta', 'Dried Fruit and Nuts', 'Tinned Fruit', 'Oil', 'Flour']"
1,0,"['TV', 'Computer', 'Glasses', 'Bagel', 'Sweet Treats', 'Lemonade', 'Fresh Milk', 'Eggs', 'Fresh Beef', 'Fresh Pasta', 'Tinned Fruit', 'Gravy', 'Vinegar', 'Olives', 'Icing Sugar']"
1,4299952784,"['Fresh Fruit Juice', 'Tea', 'Eggs', 'Fresh Flowers', 'Oil', 'Cous cous', 'Olives', 'Flour', 'Jam']"
1,4299951208,"['Crumpet', 'Cake', 'Fresh Pizza', 'Flour']"
1,4299951208,"['Pitta', 'Sweet Treats', 'Sports and Energy', 'Still Water', 'Fresh Fruit Juice', 'Tea', 'Pickles', 'Flour']"
1,4299951208,"['Glasses', 'Crumpet', 'Sweet Treats', 'Coffee', 'Tinned Fruit', 'Olives']"
1,4299959112,"['Blu Ray', 'Bagel', 'Pitta', 'Naan', 'Sweet Treats', 'Cake', 'Fresh Fish', 'Dried Fruit and Nuts', 'Tinned Fruit', 'Cous cous']"
1,0,"['Christmas Cards', 'Computer', 'Bagel', 'Cake', 'Lemonade', 'Still Water', 'Coffee', 'Fresh Beef']"
1,4299945384,"['TV', 'Glasses', 'Croissant', 'Cake', 'Sports and Energy', 'Fresh Beef']"
1,0,"['Pitta', 'Fresh Beef', 'Fresh Fish', 'Cous cous', 'Olives', 'Flour', 'Icing Sugar']"
1,4299955664,"['Christmas Cards', 'Blu Ray', 'Glasses', 'Lemonade', 'Still Water', 'Fresh Fish', 'Soup', 'Tinned Fruit']"
1,4299957888,"['Blu Ray', 'Computer', 'Glasses', 'Naan', 'Still Water', 'Coffee', 'Fresh Pizza']"
1,4299950848,"['Christmas Cards', 'Computer', 'Crumpet', 'Still Water', 'Eggs', 'Fresh Beef', 'Gravy', 'Olives', 'Icing Sugar']"
1,0,"['Christmas Cards', 'Blu Ray', 'TV', 'Utensils', 'Pitta', 'Crumpet', 'Sweet Treats', 'Cake', 'Fresh Fruit Juice', 'Bananas', 'Eggs', 'Fresh Beef', 'Fresh Pasta', 'Fresh Pizza', 'Soup', 'Gravy', 'Cous cous', 'Pickles']"
1,4299959112,"['Utensils', 'Bagel', 'Pitta', 'Naan', 'Lemonade', 'Fresh Pasta', 'Fresh Flowers', 'Dried Fruit and Nuts', 'Tinned Fruit', 'Gravy', 'Oil']"
1,0,"['Croissant', 'Sweet Treats', 'Coffee', 'Oil', 'Icing Sugar']"
1,0,"['TV', 'Pitta', 'Cake', 'Lemonade', 'Still Water', 'Tea', 'Eggs', 'Fresh Fish', 'Soup']"
1,4299946032,"['Utensils', 'Sports and Energy', 'Still Water', 'Tea', 'Soup', 'Cous cous', 'Olives', 'Flour', 'Icing Sugar']"
1,0,"['Christmas Cards', 'Bagel', 'Cake', 'Bananas', 'Fresh Milk']"
1,4299947832,"['Computer', 'Bagel', 'Naan', 'Sports and Energy', 'Eggs', 'Fresh Beef', 'Fresh Pasta', 'Fresh Pizza', 'Gravy', 'Oil', 'Jam']"
1,4299955664,"['TV', 'Glasses', 'Sweet Treats', 'Lemonade', 'Fresh Fruit Juice', 'Fresh Pasta', 'Fresh Pizza', 'Tinned Fruit', 'Cous cous', 'Jam']"
1,0,"['Utensils', 'Bagel', 'Naan', 'Fresh Fish', 'Tinned Fruit']"
1,0,"['Utensils', 'Croissant', 'Fresh Beef', 'Fresh Pasta', 'Dried Fruit and Nuts', 'Soup', 'Tinned Fruit', 'Flour', 'Icing Sugar']"
1,0,"['Glasses', 'Sports and Energy']"
1,0,"['Blu Ray', 'Cake', 'Lemonade', 'Fresh Fish', 'Soup', 'Pickles']"
1,4299957888,"['Blu Ray', 'TV', 'Pitta', 'Crumpet', 'Cake', 'Lemonade', 'Fresh Fruit Juice', 'Bananas', 'Fresh Pasta', 'Cous cous', 'Vinegar', 'Jam']"
1,4299957888,"['Naan', 'Lemonade', 'Coffee', 'Fresh Milk', 'Fresh Beef', 'Dried Fruit and Nuts']"
1,4299945240,"['Sweet Treats', 'Fresh Milk', 'Eggs', 'Fresh Beef', 'Fresh Fish', 'Dried Fruit and Nuts', 'Tinned Fruit', 'Cous cous']"
1,4299950704,"['Christmas Cards', 'Naan', 'Croissant', 'Sweet Treats', 'Eggs', 'Fresh Beef', 'Fresh Pasta']"
1,0,"['Christmas Cards', 'Computer', 'Utensils', 'Crumpet', 'Lemonade', 'Still Water', 'Fresh Fruit Juice', 'Eggs', 'Gravy']"
1,4299954728,"['Utensils', 'Bagel', 'Sweet Treats', 'Lemonade', 'Coffee', 'Soup', 'Tinned Fruit', 'Pickles', 'Flour']"
1,4299958392,"['Christmas Cards', 'Naan', 'Tea', 'Bananas', 'Eggs', 'Fresh Beef', 'Fresh Pasta', 'Fresh Flowers']"
1,0,"['Crumpet', 'Still Water', 'Fresh Fish', 'Fresh Pizza', 'Fresh Flowers', 'Vinegar', 'Pickles', 'Flour']"
1,0,"['Christmas Cards', 'Utensils', 'Crumpet', 'Dried Fruit and Nuts', 'Olives', 'Icing Sugar']"
1,0,"['Computer', 'Pitta', 'Sweet Treats', 'Cake', 'Bananas', 'Fresh Beef', 'Gravy', 'Vinegar', 'Icing Sugar']"
1,4299951424,"['Blu Ray', 'Sweet Treats', 'Sports and Energy', 'Bananas', 'Dried Fruit and Nuts', 'Pickles', 'Flour']"
1,0,"['Blu Ray', 'Croissant', 'Sports and Energy', 'Fresh Fruit Juice', 'Fresh Beef', 'Fresh Fish', 'Fresh Pasta', 'Fresh Pizza', 'Soup', 'Oil', 'Cous cous', 'Vinegar', 'Olives', 'Pickles', 'Icing Sugar']"
1,0,"['TV', 'Computer', 'Naan', 'Sweet Treats', 'Sports and Energy', 'Fresh Fruit Juice', 'Bananas', 'Dried Fruit and Nuts', 'Soup', 'Gravy', 'Vinegar', 'Olives', 'Flour', 'Jam']"
1,4299954944,"['Christmas Cards', 'Blu Ray', 'Computer', 'Glasses', 'Naan', 'Crumpet', 'Tinned Fruit', 'Vinegar', 'Pickles']"
1,4299951424,"['Blu Ray', 'Glasses', 'Bagel', 'Naan', 'Dried Fruit and Nuts', 'Icing Sugar']"
1,0,"['Blu Ray', 'Utensils', 'Bagel', 'Croissant', 'Lemonade', 'Tea', 'Fresh Beef', 'Fresh Fish', 'Fresh Pizza', 'Dried Fruit and Nuts', 'Oil', 'Jam']"
1,4299967016,"['TV', 'Glasses', 'Croissant', 'Pickles', 'Jam']"
1,4299963352,"['Pitta', 'Naan', 'Sweet Treats', 'Pickles']"
1,4299955664,"['Christmas Cards', 'Blu Ray', 'Utensils', 'Glasses', 'Still Water', 'Coffee']"
1,0,"['Bagel', 'Crumpet', 'Still Water', 'Fresh Beef', 'Fresh Flowers', 'Oil']"
1,0,"['Lemonade', 'Still Water', 'Fresh Fruit Juice', 'Fresh Fish', 'Fresh Pasta', 'Fresh Flowers', 'Gravy']"
1,4299966872,"['TV', 'Computer', 'Utensils', 'Croissant', 'Crumpet', 'Lemonade', 'Tea', 'Fresh Beef', 'Fresh Fish', 'Fresh Pizza', 'Soup', 'Cous cous', 'Pickles', 'Flour', 'Jam']"
1,0,"['Christmas Cards', 'Blu Ray', 'TV', 'Computer', 'Utensils', 'Glasses', 'Pitta', 'Naan', 'Crumpet', 'Cake', 'Soup', 'Tinned Fruit', 'Oil', 'Cous cous', 'Olives']"
1,4299959112,"['Bagel', 'Naan', 'Crumpet', 'Sweet Treats', 'Fresh Milk', 'Fresh Flowers', 'Tinned Fruit', 'Cous cous', 'Vinegar', 'Flour']"
1,0,"['TV', 'Glasses', 'Croissant', 'Crumpet', 'Sweet Treats', 'Coffee', 'Fresh Milk', 'Icing Sugar']"
1,0,"['TV', 'Croissant', 'Sports and Energy', 'Still Water', 'Tea', 'Bananas', 'Fresh Milk', 'Fresh Beef', 'Fresh Fish', 'Fresh Pizza', 'Dried Fruit and Nuts', 'Gravy', 'Oil', 'Olives', 'Flour', 'Jam']"
1,0,"['TV', 'Coffee', 'Fresh Pasta', 'Fresh Pizza', 'Fresh Flowers', 'Tinned Fruit', 'Vinegar']"
1,4299949480,"['Croissant', 'Bananas', 'Soup', 'Gravy']"
